month,year,births,date,t,year_idx,month_idx,log_births
1,1992,4943,1992-01-15,1992.0,26,0,8.505727713306959
2,1992,4959,1992-02-15,1992.0833333333333,26,1,8.508959386489133
3,1992,5469,1992-03-15,1992.1666666666667,26,2,8.606851063346772
4,1992,5429,1992-04-15,1992.25,26,3,8.599510233905452
5,1992,5293,1992-05-15,1992.3333333333333,26,4,8.574140471857987
6,1992,5005,1992-06-15,1992.4166666666667,26,5,8.518192691749322
7,1992,5141,1992-07-15,1992.5,26,6,8.545002892055505
8,1992,5098,1992-08-15,1992.5833333333333,26,7,8.53660358493606
9,1992,5135,1992-09-15,1992.6666666666667,26,8,8.543835122362658
10,1992,4642,1992-10-15,1992.75,26,9,8.442900586834382
11,1992,4414,1992-11-15,1992.8333333333333,26,10,8.392536586816682
12,1992,4581,1992-12-15,1992.9166666666667,26,11,8.429672593886743
1,1993,4907,1993-01-15,1993.0,27,0,8.498418036089904
2,1993,4577,1993-02-15,1993.0833333333333,27,1,8.428799040653642
3,1993,5312,1993-03-15,1993.1666666666667,27,2,8.57772369115627
4,1993,5406,1993-04-15,1993.25,27,3,8.595264726836392
5,1993,5322,1993-05-15,1993.3333333333333,27,4,8.579604451537634
6,1993,5094,1993-06-15,1993.4166666666667,27,5,8.535818655539403
7,1993,5278,1993-07-15,1993.5,27,6,8.57130251706327
8,1993,4996,1993-08-15,1993.5833333333333,27,7,8.516392871245468
9,1993,4980,1993-09-15,1993.6666666666667,27,8,8.513185170018698
10,1993,4814,1993-10-15,1993.75,27,9,8.479283618343016
11,1993,4434,1993-11-15,1993.8333333333333,27,10,8.397057390176256
12,1993,4558,1993-12-15,1993.9166666666667,27,11,8.42463920980563
1,1994,4914,1994-01-15,1994.0,28,0,8.499843553081124
2,1994,4709,1994-02-15,1994.0833333333333,28,1,8.457230850243555
3,1994,5422,1994-03-15,1994.1666666666667,28,2,8.598220030058611
4,1994,5291,1994-04-15,1994.25,28,3,8.57376254290413
5,1994,5328,1994-05-15,1994.3333333333333,28,4,8.580731212220226
6,1994,5121,1994-06-15,1994.4166666666667,28,5,8.54110501146255
7,1994,5242,1994-07-15,1994.5,28,6,8.564458383883352
8,1994,4937,1994-08-15,1994.5833333333333,28,7,8.504513138258863
9,1994,4791,1994-09-15,1994.6666666666667,28,8,8.474494436883122
10,1994,4910,1994-10-15,1994.75,28,9,8.499029220788566
11,1994,4642,1994-11-15,1994.8333333333333,28,10,8.442900586834382
12,1994,4785,1994-12-15,1994.9166666666667,28,11,8.473241303887054
1,1995,4972,1995-01-15,1995.0,29,0,8.511577452630602
2,1995,4788,1995-02-15,1995.0833333333333,29,1,8.473868066677865
3,1995,5364,1995-03-15,1995.1666666666667,29,2,8.587465244401569
4,1995,5333,1995-04-15,1995.25,29,3,8.581669210600602
5,1995,5351,1995-05-15,1995.3333333333333,29,4,8.585038738311304
6,1995,5274,1995-06-15,1995.4166666666667,29,5,8.570544366913232
7,1995,5405,1995-07-15,1995.5,29,6,8.595079730073309
8,1995,5143,1995-08-15,1995.5833333333333,29,7,8.545391845774915
9,1995,5030,1995-09-15,1995.6666666666667,29,8,8.523175263093785
10,1995,4718,1995-10-15,1995.75,29,9,8.45914025996762
11,1995,4613,1995-11-15,1995.8333333333333,29,10,8.43663368355782
12,1995,4301,1995-12-15,1995.9166666666667,29,11,8.366602832783736
1,1996,4975,1996-01-15,1996.0,30,0,8.512180649592693
2,1996,4875,1996-02-15,1996.0833333333333,30,1,8.491875383431948
3,1996,5408,1996-03-15,1996.1666666666667,30,2,8.5956346177228
4,1996,5409,1996-04-15,1996.25,30,3,8.595819511871428
5,1996,5387,1996-05-15,1996.3333333333333,30,4,8.591743922680534
6,1996,5074,1996-06-15,1996.4166666666667,30,5,8.531884740159228
7,1996,5343,1996-07-15,1996.5,30,6,8.583542571957771
8,1996,5054,1996-08-15,1996.5833333333333,30,7,8.52793528794814
9,1996,4939,1996-09-15,1996.6666666666667,30,8,8.504918160540624
10,1996,4975,1996-10-15,1996.75,30,9,8.512180649592693
11,1996,4762,1996-11-15,1996.8333333333333,30,10,8.468423027046809
12,1996,4726,1996-12-15,1996.9166666666667,30,11,8.460834457746854
1,1997,5274,1997-01-15,1997.0,31,0,8.570544366913232
2,1997,4760,1997-02-15,1997.0833333333333,31,1,8.468002947225466
3,1997,5244,1997-03-15,1997.1666666666667,31,2,8.56483984488359
4,1997,5446,1997-04-15,1997.25,31,3,8.602636673233706
5,1997,5244,1997-05-15,1997.3333333333333,31,4,8.56483984488359
6,1997,5154,1997-06-15,1997.4166666666667,31,5,8.54752839121231
7,1997,5284,1997-07-15,1997.5,31,6,8.572438665642215
8,1997,5074,1997-08-15,1997.5833333333333,31,7,8.531884740159228
9,1997,4993,1997-09-15,1997.6666666666667,31,8,8.51579221050061
10,1997,4700,1997-10-15,1997.75,31,9,8.45531778769815
11,1997,4204,1997-11-15,1997.8333333333333,31,10,8.343791731996841
12,1997,4424,1997-12-15,1997.9166666666667,31,11,8.39479954320217
1,1998,4742,1998-01-15,1998.0,32,0,8.464214266625351
2,1998,4614,1998-02-15,1998.0833333333333,32,1,8.4368504387337
3,1998,5185,1998-03-15,1998.1666666666667,32,2,8.553525120663627
4,1998,5317,1998-04-15,1998.25,32,3,8.57866451350434
5,1998,5021,1998-05-15,1998.3333333333333,32,4,8.521384396034705
6,1998,4974,1998-06-15,1998.4166666666667,32,5,8.51197962436335
